,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Ryan Tannehill\TannRy00,TEN,20,31,191,0,0,4,30,24,81.5,4,29,1,17,0,0,0,0,0,0,0
D'Onta Foreman\ForeDO00,TEN,0,0,0,0,0,0,0,0,,13,47,1,8,2,2,15,0,11,0,0
Jeremy McNichols\McNiJe00,TEN,0,0,0,0,0,0,0,0,,8,16,0,12,1,0,0,0,0,0,0
Dontrell Hilliard\HillDo00,TEN,0,0,0,0,0,0,0,0,,6,13,0,4,2,0,0,0,0,0,0
Geoff Swaim\SwaiGe00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,45,0,24,0,0
Anthony Firkser\FirkAn00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,34,0,11,0,0
Julio Jones\JoneJu02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,33,0,16,0,0
Nick Westbrook-Ikhine\WestNi00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,31,0,15,0,0
Chester Rogers\RogeCh02,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,1,0
Racey McMath\McMaRa00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0
Cody Hollister\HollCo00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
MyCole Pruitt\PruiMy00,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Logan Woodside\WoodLo00,TEN,0,0,0,0,0,0,0,0,,3,-3,0,-1,0,0,0,0,0,0,0
