,Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_LostYds,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fmb,FL,Week,PlayerID
0,Ryan Tannehill,TEN,21,35,212,1,1,6,56,39,74.9,2,17,1,16,0,0,0,0,0,2,2,1,TannRy00
1,Matthias Farley,TEN,1,1,6,0,0,0,0,6,91.7,0,0,0,0,0,0,0,0,0,0,0,1,FarlMa00
2,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,17,58,0,19,4,3,19,0,8,0,0,1,HenrDe00
3,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,2,9,0,8,4,3,24,0,9,0,0,1,McNiJe00
4,Mekhi Sargent,TEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,1,SargMe00
5,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,62,0,39,0,0,1,RogeCh02
6,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,49,1,19,0,0,1,BrowAJ00
7,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,29,0,10,0,0,1,JoneJu02
8,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,11,0,0,1,FirkAn00
9,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0,1,WestNi00
10,Amani Hooker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,1,HookAm00
11,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,SwaiGe00
12,Ryan Tannehill,TEN,27,40,347,0,0,3,27,51,94.5,4,27,0,19,0,0,0,0,0,1,1,2,TannRy00
13,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,35,182,3,60,6,6,55,0,15,0,0,2,HenrDe00
14,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,3,3,26,0,12,0,0,2,McNiJe00
15,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,128,0,51,0,0,2,JoneJu02
16,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,43,0,15,0,0,2,BrowAJ00
17,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,43,0,22,0,0,2,PruiMy00
18,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,22,0,12,0,0,2,RogeCh02
19,Tommy Hudson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0,2,HudsTo00
20,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,5,0,0,2,SwaiGe00
21,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,2,WestNi00
22,Ryan Tannehill,TEN,18,27,197,3,2,1,9,26,94.2,5,56,0,28,0,0,0,0,0,0,0,3,TannRy00
23,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,28,113,0,19,3,3,31,0,14,0,0,3,HenrDe00
24,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,2,6,0,5,2,1,10,1,10,0,0,3,McNiJe00
25,A.J. Brown,TEN,0,0,0,0,0,0,0,0,,1,3,0,3,2,0,0,0,0,0,0,3,BrowAJ00
26,Mekhi Sargent,TEN,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0,3,SargMe00
27,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,53,1,18,1,1,3,WestNi00
28,Julio Jones,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,47,0,25,0,0,3,JoneJu02
29,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,27,0,26,0,0,3,SwaiGe00
30,Cameron Batson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,3,BatsCa00
31,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,3,PruiMy00
32,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,1,6,0,0,3,RogeCh02
33,Tommy Hudson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,3,HudsTo00
34,Racey McMath,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,3,McMaRa00
35,Ryan Tannehill,TEN,30,49,298,1,0,7,45,27,85.2,3,9,0,7,0,0,0,0,0,0,0,4,TannRy00
36,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,33,157,1,22,2,2,20,0,16,0,0,4,HenrDe00
37,Jeremy McNichols,TEN,0,0,0,0,0,0,0,0,,1,11,0,11,12,8,74,0,27,0,0,4,McNiJe00
38,Chester Rogers,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,63,0,20,0,0,4,RogeCh02
39,Josh Reynolds,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,59,0,12,0,0,4,ReynJo00
40,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,29,0,18,0,0,4,WestNi00
41,Anthony Firkser,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,23,0,10,0,0,4,FirkAn00
42,Tommy Hudson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,4,HudsTo00
43,MyCole Pruitt,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,4,PruiMy00
44,Cameron Batson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,2,1,2,0,0,4,BatsCa00
45,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,4,SwaiGe00
46,Ryan Tannehill,TEN,14,22,197,1,0,3,13,26,107.6,3,21,0,8,0,0,0,0,0,0,0,5,TannRy00
47,Derrick Henry,TEN,0,0,0,0,0,0,0,0,,29,130,3,15,0,0,0,0,0,0,0,5,HenrDe00
48,Cameron Batson,TEN,0,0,0,0,0,0,0,0,,2,15,0,11,0,0,0,0,0,0,0,5,BatsCa00
