,Rk,Player,Tm,Age_x,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,PlayerID,Team,Age_y,Total Value,Avg./Year,Total Guaranteed,Fully Guaranteed,Free Agency
0,1,Jonathan Taylor,IND,22,RB,17,17,332,1811,18,107,83,5.5,106.5,4,TaylJo02,Colts,23,7829154,1957289,4829799,4829799,2024 UFA
1,2,Najee Harris,PIT,23,RB,17,17,307,1200,7,62,37,3.9,70.6,0,HarrNa00,Steelers,24,13047444,3261861,13047444,13047444,2025 UFA
2,3,Joe Mixon,CIN,25,RB,16,16,292,1205,13,60,32,4.1,75.3,2,MixoJo00,Bengals,26,48000000,12000000,10000000,10000000,2025 UFA
3,4,Antonio Gibson,WAS,23,RB,16,14,258,1037,7,65,27,4.0,64.8,6,GibsAn00,Washington,24,4932638,1233160,1147372,1147372,2024 UFA
4,5,Dalvin Cook,MIN,26,RB,13,13,249,1159,6,57,66,4.7,89.2,3,CookDa01,Vikings,27,63000000,12600000,28131361,16331361,2026 UFA
5,6,Alvin Kamara,NOR,26,rb,13,10,240,898,4,42,30,3.7,69.1,0,KamaAl00,Saints,27,75000000,15000000,34333333,17833000,2026 UFA
6,7,Ezekiel Elliott,DAL,26,RB,17,17,237,1002,10,55,47,4.2,58.9,1,ElliEz00,Cowboys,27,90000000,15000000,50052137,28052137,2027 UFA
7,8,Nick Chubb,CLE,26,RB,14,14,228,1259,8,61,70,5.5,89.9,2,ChubNi00,Browns,27,36600000,12200000,20000000,17133059,2025 UFA
8,9,David Montgomery,CHI,24,RB,13,13,225,849,7,55,41,3.8,65.3,1,MontDa01,Bears,25,4015380,1003845,1046180,1046180,2023 UFA
9,10,Derrick Henry,TEN,27,rb,8,8,219,937,10,49,76,4.3,117.1,1,HenrDe00,Titans,28,50000000,12500000,25500000,25500000,2024 UFA
10,11,Josh Jacobs,LVR,23,RB,15,14,217,872,9,45,28,4.0,58.1,2,JacoJo01,Raiders,24,11933398,2983350,11933398,11933398,2023 UFA
11,12,Sony Michel,LAR,26,rb,17,7,208,845,4,49,39,4.1,49.7,1,MichSo00,Rams,27,9626694,2406674,8389710,8389710,2022 UFA
12,13,Elijah Mitchell,SFO,23,rb,11,10,207,963,5,47,39,4.7,87.5,0,MitcEl00,49ers,24,3663572,915893,183572,183572,2025 UFA
13,14,Austin Ekeler,LAC,26,RB,16,16,206,911,12,53,28,4.4,56.9,4,EkelAu00,Chargers,27,24500000,6125000,15000000,13750000,2024 UFA
