Player,Team,Age,Total Value,Avg./Year,Total Guaranteed,Fully Guaranteed,Free Agency
Christian McCaffrey,Panthers,26,64063412,16015853,36346412,30062500,2026 UFA
Alvin Kamara,Saints,27,75000000,15000000,34333333,17833000,2026 UFA
Ezekiel Elliott,Cowboys,27,90000000,15000000,50052137,28052137,2027 UFA
Dalvin Cook,Vikings,27,63000000,12600000,28131361,16331361,2026 UFA
Derrick Henry,Titans,28,50000000,12500000,25500000,25500000,2024 UFA
Nick Chubb,Browns,27,36600000,12200000,20000000,17133059,2025 UFA
Aaron Jones,Packers,28,48000000,12000000,13000000,13000000,2025 UFA
Joe Mixon,Bengals,26,48000000,12000000,10000000,10000000,2025 UFA
Melvin Gordon,Broncos,29,16000000,8000000,13500000,13500000,2022 UFA
Saquon Barkley,Giants,25,31194750,7798688,31194750,31194750,2023 UFA
Nyheim Hines,Colts,26,18600000,6200000,12000000,10300000,2025 UFA
Austin Ekeler,Chargers,27,24500000,6125000,15000000,13750000,2024 UFA
Kareem Hunt,Browns,27,12000000,6000000,6809000,5509000,2023 UFA
Tarik Cohen,Bears,27,17250000,5750000,12033000,9533000,2024 UFA
Kenyan Drake,Raiders,28,11000000,5500000,11500000,8500000,2023 UFA
Chris Carson,Seahawks,28,10425000,5212500,5500000,5500000,2023 Void
David Johnson,Texans,31,5000000,5000000,4250000,4250000,2022 UFA
Gus Edwards,Ravens,27,12384000,4128000,8000000,8000000,2024 UFA
Jalen Richard,Raiders,29,7000000,3500000,4500000,3375000,2022 Void
Najee Harris,Steelers,24,13047444,3261861,13047444,13047444,2025 UFA
Phillip Lindsay,Dolphins,28,3250000,3250000,1000000,1000000,2022 UFA
Leonard Fournette,Buccaneers,27,3250000,3250000,2000000,2000000,2022 UFA
Travis Etienne,Jaguars,23,12898112,3224528,12898112,12898112,2025 UFA
Jamaal Williams,Lions,27,6000000,3000000,3250000,3250000,2023 UFA
Josh Jacobs,Raiders,24,11933398,2983350,11933398,11933398,2023 UFA
Raheem Mostert,49ers,30,8700000,2900000,3000000,2400000,2022 UFA
Devontae Booker,Giants,30,5500000,2750000,2000000,2000000,2023 UFA
Mike Davis,Falcons,29,5500000,2750000,3000000,3000000,2023 UFA
Clyde Edwards-Helaire,Chiefs,23,10821576,2705394,9955850,9955850,2024 UFA
Rashaad Penny,Seahawks,26,10765436,2691359,9397422,9397422,2022 UFA
James White,Patriots,30,2462500,2462500,2462500,2462500,2022 UFA
Sony Michel,Rams,27,9626694,2406674,8389710,8389710,2022 UFA
Rex Burkhead,Texans,32,2350000,2350000,2100000,2100000,2023 UFA
Carlos Hyde,Jaguars,32,4500000,2250000,1400000,1400000,2023 UFA
Javonte Williams,Broncos,22,8865754,2216439,6718251,6718251,2025 UFA
D'Andre Swift,Lions,23,8538918,2134730,6306374,6306374,2024 UFA
Jeff Wilson,49ers,27,2050000,2050000,2050000,2050000,2022 UFA
Marlon Mack,Colts,26,2000000,2000000,2000000,2000000,2022 UFA
Jonathan Taylor,Colts,23,7829154,1957289,4829799,4829799,2024 UFA
Mike Boone,Broncos,27,3850000,1925000,2600000,2600000,2023 UFA
Brandon Bolden,Patriots,32,3700000,1850000,2000000,2000000,2022 UFA
Mark Ingram,Saints,33,3625000,1812500,550000,250000,2023 UFA
Ronald Jones II,Buccaneers,25,7071926,1767982,3223220,3223220,2022 UFA
Malcolm Brown,Dolphins,29,1750000,1750000,1750000,1750000,2022 UFA
Taiwan Jones,Bills,34,1750000,1750000,700000,700000,2022 UFA
James Conner,Cardinals,27,1750000,1750000,1750000,1750000,2022 UFA
Samaje Perine,Bengals,27,3300000,1650000,700000,700000,2023 UFA
J.D. McKissic,Washington,29,3270000,1635000,1000000,1000000,2022 UFA
Darrel Williams,Chiefs,27,1600000,1600000,880000,880000,2022 UFA
Cam Akers,Rams,23,6173042,1543261,3550077,3550077,2024 UFA
Damien Williams,Bears,30,1500000,1500000,1000000,1000000,2022 Void
J.K. Dobbins,Ravens,24,5729438,1432360,3207293,3207293,2024 UFA
Miles Sanders,Eagles,25,5360230,1340058,3151995,3151995,2023 UFA
