,Player,Tm,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Week,PlayerID
0,Derrick Henry,TEN,17,58,2.0,41,2.4,17,1.0,0,,1,HenrDe00
1,Jeremy McNichols,TEN,2,9,,6,3.0,3,1.5,0,,1,McNiJe00
2,Ryan Tannehill,TEN,2,17,2.0,14,7.0,3,1.5,0,,1,TannRy00
3,Mekhi Sargent,TEN,1,2,1.0,1,1.0,1,1.0,0,,1,SargMe00
4,Derrick Henry,TEN,35,182,9.0,93,2.7,89,2.5,1,35.0,2,HenrDe00
5,Ryan Tannehill,TEN,4,27,2.0,26,6.5,1,0.3,0,,2,TannRy00
6,Jeremy McNichols,TEN,1,3,0.0,1,1.0,2,2.0,0,,2,McNiJe00
7,Derrick Henry,TEN,28,113,7.0,72,2.6,41,1.5,1,28.0,3,HenrDe00
8,Ryan Tannehill,TEN,5,56,3.0,53,10.6,3,0.6,0,,3,TannRy00
9,Jeremy McNichols,TEN,2,6,0.0,2,1.0,4,2.0,0,,3,McNiJe00
10,A.J. Brown,TEN,1,3,,1,1.0,2,2.0,0,,3,BrowAJ00
11,Mekhi Sargent,TEN,1,2,,2,2.0,0,0.0,0,,3,SargMe00
12,Derrick Henry,TEN,33,157,8.0,77,2.3,80,2.4,2,16.5,4,HenrDe00
13,Ryan Tannehill,TEN,3,9,1.0,8,2.7,1,0.3,0,,4,TannRy00
14,Jeremy McNichols,TEN,1,11,1.0,11,11.0,0,0.0,0,,4,McNiJe00
15,Derrick Henry,TEN,29,130,8.0,79,2.7,51,1.8,4,7.3,5,HenrDe00
16,Ryan Tannehill,TEN,3,21,2.0,20,6.7,1,0.3,0,,5,TannRy00
17,Cameron Batson,TEN,2,15,1.0,11,5.5,4,2.0,0,,5,BatsCa00
18,Jeremy McNichols,TEN,1,9,1.0,6,6.0,3,3.0,0,,5,McNiJe00
19,Chester Rogers,TEN,1,9,0.0,5,5.0,4,4.0,0,,5,RogeCh02
20,Derrick Henry,TEN,20,143,5.0,47,2.4,96,4.8,1,20.0,6,HenrDe00
21,Ryan Tannehill,TEN,2,3,1.0,1,0.5,2,1.0,1,2.0,6,TannRy00
22,Derrick Henry,TEN,29,86,6.0,28,1.0,58,2.0,1,29.0,7,HenrDe00
23,Darrynton Evans,TEN,2,7,0.0,2,1.0,5,2.5,0,,7,EvanDa02
24,Ryan Tannehill,TEN,2,6,2.0,3,1.5,3,1.5,0,,7,TannRy00
25,Marcus Johnson,TEN,1,5,1.0,1,1.0,4,4.0,0,,7,JohnMa07
26,Logan Woodside,TEN,1,-1,,-1,-1.0,0,0.0,0,,7,WoodLo00
27,Derrick Henry,TEN,28,68,4.0,13,0.5,55,2.0,0,,8,HenrDe00
28,Ryan Tannehill,TEN,2,26,2.0,23,11.5,3,1.5,0,,8,TannRy00
29,Logan Woodside,TEN,1,-1,,-1,-1.0,0,0.0,0,,8,WoodLo00
30,Adrian Peterson,TEN,10,21,1.0,6,0.6,15,1.5,0,,9,PeteAd01
31,Jeremy McNichols,TEN,7,24,,16,2.3,8,1.1,0,,9,McNiJe00
32,D'Onta Foreman,TEN,5,29,1.0,9,1.8,20,4.0,1,5.0,9,ForeDO00
33,Ryan Tannehill,TEN,2,3,2.0,2,1.0,1,0.5,0,,9,TannRy00
34,Marcus Johnson,TEN,1,-7,,-7,-7.0,0,0.0,0,,9,JohnMa07
35,Logan Woodside,TEN,1,-1,,-1,-1.0,0,0.0,0,,9,WoodLo00
36,D'Onta Foreman,TEN,11,30,0.0,12,1.1,18,1.6,0,,10,ForeDO00
37,Adrian Peterson,TEN,8,21,1.0,13,1.6,8,1.0,0,,10,PeteAd01
38,Ryan Tannehill,TEN,5,1,2.0,-1,-0.2,2,0.4,0,,10,TannRy00
39,Jeremy McNichols,TEN,4,7,,5,1.3,2,0.5,0,,10,McNiJe00
40,A.J. Brown,TEN,1,7,1.0,5,5.0,2,2.0,0,,10,BrowAJ00
41,Adrian Peterson,TEN,9,40,2.0,15,1.7,25,2.8,0,,11,PeteAd01
42,D'Onta Foreman,TEN,7,25,1.0,4,0.6,21,3.0,1,7.0,11,ForeDO00
43,Dontrell Hilliard,TEN,7,35,3.0,16,2.3,19,2.7,0,,11,HillDo00
44,Ryan Tannehill,TEN,2,3,1.0,0,0.0,3,1.5,0,,11,TannRy00
45,D'Onta Foreman,TEN,19,109,3.0,54,2.8,55,2.9,2,9.5,12,ForeDO00
46,Dontrell Hilliard,TEN,12,131,4.0,60,5.0,71,5.9,3,4.0,12,HillDo00
47,Ryan Tannehill,TEN,5,24,3.0,18,3.6,6,1.2,0,,12,TannRy00
48,Khari Blasingame,TEN,3,6,1.0,0,0.0,6,2.0,0,,12,BlasKh00
49,D'Onta Foreman,TEN,13,47,3.0,22,1.7,25,1.9,0,,14,ForeDO00
50,Jeremy McNichols,TEN,8,16,2.0,5,0.6,11,1.4,1,8.0,14,McNiJe00
51,Dontrell Hilliard,TEN,6,13,,8,1.3,5,0.8,0,,14,HillDo00
52,Ryan Tannehill,TEN,4,29,3.0,28,7.0,1,0.3,0,,14,TannRy00
53,Logan Woodside,TEN,3,-3,,-3,-1.0,0,0.0,0,,14,WoodLo00
54,D'Onta Foreman,TEN,22,108,8.0,47,2.1,61,2.8,2,11.0,15,ForeDO00
55,Dontrell Hilliard,TEN,9,49,2.0,34,3.8,15,1.7,0,,15,HillDo00
56,Jeremy McNichols,TEN,6,26,0.0,10,1.7,16,2.7,0,,15,McNiJe00
57,Ryan Tannehill,TEN,5,18,4.0,13,2.6,5,1.0,1,5.0,15,TannRy00
58,D'Onta Foreman,TEN,9,17,1.0,11,1.2,6,0.7,1,9.0,16,ForeDO00
59,Jeremy McNichols,TEN,7,31,2.0,23,3.3,8,1.1,0,,16,McNiJe00
60,Dontrell Hilliard,TEN,5,20,,18,3.6,2,0.4,0,,16,HillDo00
61,Ryan Tannehill,TEN,3,22,1.0,0,0.0,22,7.3,0,,16,TannRy00
62,D'Onta Foreman,TEN,26,132,3.0,77,3.0,55,2.1,2,13.0,17,ForeDO00
63,Dontrell Hilliard,TEN,8,45,2.0,39,4.9,6,0.8,1,8.0,17,HillDo00
64,Ryan Tannehill,TEN,4,7,2.0,5,1.3,2,0.5,0,,17,TannRy00
65,Jeremy McNichols,TEN,2,14,,11,5.5,3,1.5,0,,17,McNiJe00
66,D'Onta Foreman,TEN,21,69,2.0,31,1.5,38,1.8,2,10.5,18,ForeDO00
